Case_Reported_Date,Reporting_PHU_ID,Reporting_PHU,Number_of_Cases
2020-08-21,3895,Toronto Public Health,23
2020-08-21,4913,Southwestern Public Health,5
2020-08-21,5183,Huron Perth District Health Unit,1
2020-08-22,2230,Durham Region Health Department,2
2020-08-22,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",1
2020-08-22,2236,Halton Region Health Department,1
2020-08-22,2240,Chatham-Kent Health Unit,2
2020-08-22,2244,Middlesex-London Health Unit,2
2020-08-22,2251,Ottawa Public Health,16
2020-08-22,2253,Peel Public Health,20
2020-08-22,2258,Eastern Ontario Health Unit,1
2020-08-22,2265,"Region of Waterloo, Public Health",6
2020-08-22,2270,York Region Public Health Services,9
2020-08-22,3895,Toronto Public Health,20
2020-08-22,5183,Huron Perth District Health Unit,2
2020-08-23,2230,Durham Region Health Department,1
2020-08-23,2236,Halton Region Health Department,4
2020-08-23,2237,Hamilton Public Health Services,2
2020-08-23,2240,Chatham-Kent Health Unit,1
2020-08-23,2242,Lambton Public Health,2
2020-08-23,2243,"Leeds, Grenville and Lanark District Health Unit",1
2020-08-23,2244,Middlesex-London Health Unit,3
2020-08-23,2246,Niagara Region Public Health Department,1
2020-08-23,2249,Northwestern Health Unit,1
2020-08-23,2251,Ottawa Public Health,13
2020-08-23,2253,Peel Public Health,26
2020-08-23,2258,Eastern Ontario Health Unit,1
2020-08-23,2260,Simcoe Muskoka District Health Unit,2
2020-08-23,2262,Thunder Bay District Health Unit,1
2020-08-23,2266,Wellington-Dufferin-Guelph Public Health,1
2020-08-23,2268,Windsor-Essex County Health Unit,4
2020-08-23,2270,York Region Public Health Services,7
2020-08-23,3895,Toronto Public Health,29
2020-08-23,5183,Huron Perth District Health Unit,1
2020-08-24,2230,Durham Region Health Department,2
2020-08-24,2236,Halton Region Health Department,2
2020-08-24,2237,Hamilton Public Health Services,2
2020-08-24,2238,Hastings and Prince Edward Counties Health Unit,2
2020-08-24,2241,"Kingston, Frontenac and Lennox & Addington Public Health",1
2020-08-24,2249,Northwestern Health Unit,1
2020-08-24,2251,Ottawa Public Health,19
2020-08-24,2253,Peel Public Health,30
2020-08-24,2258,Eastern Ontario Health Unit,1
2020-08-24,2260,Simcoe Muskoka District Health Unit,4
2020-08-24,2265,"Region of Waterloo, Public Health",1
2020-08-24,2266,Wellington-Dufferin-Guelph Public Health,2
2020-08-24,2268,Windsor-Essex County Health Unit,1
2020-08-24,2270,York Region Public Health Services,13
2020-08-24,3895,Toronto Public Health,35
2020-08-24,4913,Southwestern Public Health,1
2020-08-25,2230,Durham Region Health Department,10
2020-08-25,2236,Halton Region Health Department,3
2020-08-25,2237,Hamilton Public Health Services,2
2020-08-25,2238,Hastings and Prince Edward Counties Health Unit,1
2020-08-25,2240,Chatham-Kent Health Unit,1
2020-08-25,2244,Middlesex-London Health Unit,2
2020-08-25,2246,Niagara Region Public Health Department,3
2020-08-25,2251,Ottawa Public Health,23
2020-08-25,2253,Peel Public Health,29
2020-08-25,2256,Porcupine Health Unit,1
2020-08-25,2258,Eastern Ontario Health Unit,2
2020-08-25,2260,Simcoe Muskoka District Health Unit,2
2020-08-25,2265,"Region of Waterloo, Public Health",2
2020-08-25,2266,Wellington-Dufferin-Guelph Public Health,2
2020-08-25,2268,Windsor-Essex County Health Unit,7
2020-08-25,2270,York Region Public Health Services,3
2020-08-25,3895,Toronto Public Health,21
2020-08-25,4913,Southwestern Public Health,6
2020-08-26,2230,Durham Region Health Department,1
2020-08-26,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",1
2020-08-26,2236,Halton Region Health Department,4
2020-08-26,2237,Hamilton Public Health Services,3
2020-08-26,2240,Chatham-Kent Health Unit,2
2020-08-26,2243,"Leeds, Grenville and Lanark District Health Unit",2
2020-08-26,2244,Middlesex-London Health Unit,2
2020-08-26,2246,Niagara Region Public Health Department,1
2020-08-26,2251,Ottawa Public Health,15
2020-08-26,2253,Peel Public Health,26
2020-08-26,2258,Eastern Ontario Health Unit,1
2020-08-26,2260,Simcoe Muskoka District Health Unit,2
2020-08-26,2265,"Region of Waterloo, Public Health",5
2020-08-26,2266,Wellington-Dufferin-Guelph Public Health,4
2020-08-26,2268,Windsor-Essex County Health Unit,12
2020-08-26,2270,York Region Public Health Services,15
2020-08-26,3895,Toronto Public Health,35
2020-08-27,2230,Durham Region Health Department,10
2020-08-27,2236,Halton Region Health Department,3
2020-08-27,2243,"Leeds, Grenville and Lanark District Health Unit",2
2020-08-27,2246,Niagara Region Public Health Department,2
2020-08-27,2251,Ottawa Public Health,16
2020-08-27,2253,Peel Public Health,41
2020-08-27,2257,Renfrew County and District Health Unit,1
2020-08-27,2258,Eastern Ontario Health Unit,3
2020-08-27,2260,Simcoe Muskoka District Health Unit,8
2020-08-27,2265,"Region of Waterloo, Public Health",3
2020-08-27,2268,Windsor-Essex County Health Unit,6
2020-08-27,2270,York Region Public Health Services,10
2020-08-27,3895,Toronto Public Health,44
2020-08-27,5183,Huron Perth District Health Unit,1
2020-08-28,2230,Durham Region Health Department,3
2020-08-28,2236,Halton Region Health Department,3
2020-08-28,2237,Hamilton Public Health Services,6
2020-08-28,2244,Middlesex-London Health Unit,2
2020-08-28,2246,Niagara Region Public Health Department,1
2020-08-28,2251,Ottawa Public Health,20
2020-08-28,2253,Peel Public Health,22
2020-08-28,2257,Renfrew County and District Health Unit,1
2020-08-28,2258,Eastern Ontario Health Unit,1
2020-08-28,2260,Simcoe Muskoka District Health Unit,3
2020-08-28,2265,"Region of Waterloo, Public Health",3
2020-08-28,2266,Wellington-Dufferin-Guelph Public Health,1
2020-08-28,2268,Windsor-Essex County Health Unit,13
2020-08-28,2270,York Region Public Health Services,7
2020-08-28,3895,Toronto Public Health,35
2020-08-29,2230,Durham Region Health Department,3
2020-08-29,2234,Haldimand-Norfolk Health Unit,3
2020-08-29,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",1
2020-08-29,2237,Hamilton Public Health Services,3
2020-08-29,2240,Chatham-Kent Health Unit,1
2020-08-29,2251,Ottawa Public Health,12
2020-08-29,2253,Peel Public Health,20
2020-08-29,2258,Eastern Ontario Health Unit,1
2020-08-29,2260,Simcoe Muskoka District Health Unit,1
2020-08-29,2266,Wellington-Dufferin-Guelph Public Health,1
2020-08-29,2268,Windsor-Essex County Health Unit,9
2020-08-29,2270,York Region Public Health Services,7
2020-08-29,3895,Toronto Public Health,45
2020-08-29,5183,Huron Perth District Health Unit,2
2020-08-30,2226,Algoma Public Health Unit,1
2020-08-30,2227,Brant County Health Unit,1
2020-08-30,2230,Durham Region Health Department,3
2020-08-30,2234,Haldimand-Norfolk Health Unit,1
2020-08-30,2236,Halton Region Health Department,6
2020-08-30,2237,Hamilton Public Health Services,2
2020-08-30,2242,Lambton Public Health,1
2020-08-30,2244,Middlesex-London Health Unit,2
2020-08-30,2251,Ottawa Public Health,16
2020-08-30,2253,Peel Public Health,36
2020-08-30,2255,Peterborough Public Health,1
2020-08-30,2260,Simcoe Muskoka District Health Unit,2
2020-08-30,2265,"Region of Waterloo, Public Health",3
2020-08-30,2266,Wellington-Dufferin-Guelph Public Health,1
2020-08-30,2268,Windsor-Essex County Health Unit,6
2020-08-30,2270,York Region Public Health Services,9
2020-08-30,3895,Toronto Public Health,31
2020-08-31,2227,Brant County Health Unit,1
2020-08-31,2230,Durham Region Health Department,6
2020-08-31,2233,Grey Bruce Health Unit,1
2020-08-31,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",1
2020-08-31,2236,Halton Region Health Department,2
2020-08-31,2237,Hamilton Public Health Services,7
2020-08-31,2246,Niagara Region Public Health Department,1
2020-08-31,2251,Ottawa Public Health,13
2020-08-31,2253,Peel Public Health,33
2020-08-31,2260,Simcoe Muskoka District Health Unit,4
2020-08-31,2265,"Region of Waterloo, Public Health",4
2020-08-31,2266,Wellington-Dufferin-Guelph Public Health,1
2020-08-31,2268,Windsor-Essex County Health Unit,9
2020-08-31,2270,York Region Public Health Services,15
2020-08-31,3895,Toronto Public Health,36
2020-09-01,2230,Durham Region Health Department,3
2020-09-01,2234,Haldimand-Norfolk Health Unit,1
2020-09-01,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",1
2020-09-01,2237,Hamilton Public Health Services,3
2020-09-01,2244,Middlesex-London Health Unit,1
2020-09-01,2246,Niagara Region Public Health Department,2
2020-09-01,2251,Ottawa Public Health,18
2020-09-01,2253,Peel Public Health,43
2020-09-01,2255,Peterborough Public Health,1
2020-09-01,2260,Simcoe Muskoka District Health Unit,1
2020-09-01,2265,"Region of Waterloo, Public Health",2
2020-09-01,2268,Windsor-Essex County Health Unit,3
2020-09-01,2270,York Region Public Health Services,9
2020-09-01,3895,Toronto Public Health,35
2020-09-02,2226,Algoma Public Health Unit,1
2020-09-02,2227,Brant County Health Unit,1
2020-09-02,2230,Durham Region Health Department,1
2020-09-02,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",1
2020-09-02,2236,Halton Region Health Department,3
2020-09-02,2237,Hamilton Public Health Services,3
2020-09-02,2242,Lambton Public Health,1
2020-09-02,2244,Middlesex-London Health Unit,1
2020-09-02,2251,Ottawa Public Health,15
2020-09-02,2253,Peel Public Health,58
2020-09-02,2260,Simcoe Muskoka District Health Unit,1
2020-09-02,2268,Windsor-Essex County Health Unit,3
2020-09-02,2270,York Region Public Health Services,5
2020-09-02,3895,Toronto Public Health,32
2020-09-03,2227,Brant County Health Unit,1
2020-09-03,2230,Durham Region Health Department,4
2020-09-03,2236,Halton Region Health Department,3
2020-09-03,2237,Hamilton Public Health Services,10
2020-09-03,2246,Niagara Region Public Health Department,1
2020-09-03,2251,Ottawa Public Health,24
2020-09-03,2253,Peel Public Health,52
2020-09-03,2256,Porcupine Health Unit,1
2020-09-03,2258,Eastern Ontario Health Unit,4
2020-09-03,2260,Simcoe Muskoka District Health Unit,2
2020-09-03,2265,"Region of Waterloo, Public Health",4
2020-09-03,2266,Wellington-Dufferin-Guelph Public Health,1
2020-09-03,2268,Windsor-Essex County Health Unit,1
2020-09-03,2270,York Region Public Health Services,11
2020-09-03,3895,Toronto Public Health,50
2020-09-04,2227,Brant County Health Unit,1
2020-09-04,2230,Durham Region Health Department,8
2020-09-04,2233,Grey Bruce Health Unit,1
2020-09-04,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",1
2020-09-04,2236,Halton Region Health Department,2
2020-09-04,2237,Hamilton Public Health Services,4
2020-09-04,2238,Hastings and Prince Edward Counties Health Unit,1
2020-09-04,2246,Niagara Region Public Health Department,3
2020-09-04,2251,Ottawa Public Health,24
2020-09-04,2253,Peel Public Health,39
2020-09-04,2258,Eastern Ontario Health Unit,1
2020-09-04,2260,Simcoe Muskoka District Health Unit,4
2020-09-04,2265,"Region of Waterloo, Public Health",2
2020-09-04,2268,Windsor-Essex County Health Unit,5
2020-09-04,2270,York Region Public Health Services,17
2020-09-04,3895,Toronto Public Health,42
2020-09-05,2230,Durham Region Health Department,1
2020-09-05,2236,Halton Region Health Department,4
2020-09-05,2237,Hamilton Public Health Services,4
2020-09-05,2238,Hastings and Prince Edward Counties Health Unit,1
2020-09-05,2242,Lambton Public Health,1
2020-09-05,2244,Middlesex-London Health Unit,1
2020-09-05,2246,Niagara Region Public Health Department,3
2020-09-05,2251,Ottawa Public Health,17
2020-09-05,2253,Peel Public Health,47
2020-09-05,2257,Renfrew County and District Health Unit,1
2020-09-05,2260,Simcoe Muskoka District Health Unit,4
2020-09-05,2265,"Region of Waterloo, Public Health",2
2020-09-05,2266,Wellington-Dufferin-Guelph Public Health,2
2020-09-05,2268,Windsor-Essex County Health Unit,3
2020-09-05,2270,York Region Public Health Services,19
2020-09-05,3895,Toronto Public Health,37
2020-09-06,2227,Brant County Health Unit,1
2020-09-06,2230,Durham Region Health Department,3
2020-09-06,2236,Halton Region Health Department,7
2020-09-06,2237,Hamilton Public Health Services,2
2020-09-06,2240,Chatham-Kent Health Unit,1
2020-09-06,2244,Middlesex-London Health Unit,1
2020-09-06,2246,Niagara Region Public Health Department,2
2020-09-06,2251,Ottawa Public Health,27
2020-09-06,2253,Peel Public Health,70
2020-09-06,2258,Eastern Ontario Health Unit,2
2020-09-06,2260,Simcoe Muskoka District Health Unit,3
2020-09-06,2265,"Region of Waterloo, Public Health",3
2020-09-06,2268,Windsor-Essex County Health Unit,1
2020-09-06,2270,York Region Public Health Services,15
2020-09-06,3895,Toronto Public Health,55
2020-09-07,2230,Durham Region Health Department,4
2020-09-07,2236,Halton Region Health Department,6
2020-09-07,2237,Hamilton Public Health Services,3
2020-09-07,2243,"Leeds, Grenville and Lanark District Health Unit",1
2020-09-07,2244,Middlesex-London Health Unit,2
2020-09-07,2251,Ottawa Public Health,29
2020-09-07,2253,Peel Public Health,38
2020-09-07,2255,Peterborough Public Health,1
2020-09-07,2258,Eastern Ontario Health Unit,1
2020-09-07,2260,Simcoe Muskoka District Health Unit,3
2020-09-07,2265,"Region of Waterloo, Public Health",4
2020-09-07,2266,Wellington-Dufferin-Guelph Public Health,3
2020-09-07,2268,Windsor-Essex County Health Unit,5
2020-09-07,2270,York Region Public Health Services,20
2020-09-07,3895,Toronto Public Health,54
2020-09-08,2230,Durham Region Health Department,12
2020-09-08,2236,Halton Region Health Department,7
2020-09-08,2237,Hamilton Public Health Services,5
2020-09-08,2244,Middlesex-London Health Unit,2
2020-09-08,2246,Niagara Region Public Health Department,3
2020-09-08,2247,North Bay Parry Sound District Health Unit,1
2020-09-08,2251,Ottawa Public Health,24
2020-09-08,2253,Peel Public Health,33
2020-09-08,2260,Simcoe Muskoka District Health Unit,6
2020-09-08,2265,"Region of Waterloo, Public Health",4
2020-09-08,2266,Wellington-Dufferin-Guelph Public Health,2
2020-09-08,2268,Windsor-Essex County Health Unit,6
2020-09-08,2270,York Region Public Health Services,23
2020-09-08,3895,Toronto Public Health,53
2020-09-09,2230,Durham Region Health Department,10
2020-09-09,2236,Halton Region Health Department,4
2020-09-09,2237,Hamilton Public Health Services,2
2020-09-09,2241,"Kingston, Frontenac and Lennox & Addington Public Health",1
2020-09-09,2242,Lambton Public Health,1
2020-09-09,2244,Middlesex-London Health Unit,1
2020-09-09,2246,Niagara Region Public Health Department,3
2020-09-09,2251,Ottawa Public Health,15
2020-09-09,2253,Peel Public Health,28
2020-09-09,2257,Renfrew County and District Health Unit,1
2020-09-09,2258,Eastern Ontario Health Unit,2
2020-09-09,2260,Simcoe Muskoka District Health Unit,7
2020-09-09,2265,"Region of Waterloo, Public Health",19
2020-09-09,2266,Wellington-Dufferin-Guelph Public Health,2
2020-09-09,2268,Windsor-Essex County Health Unit,5
2020-09-09,2270,York Region Public Health Services,15
2020-09-09,3895,Toronto Public Health,75
2020-09-09,5183,Huron Perth District Health Unit,3
2020-09-10,2230,Durham Region Health Department,6
2020-09-10,2234,Haldimand-Norfolk Health Unit,2
2020-09-10,2236,Halton Region Health Department,4
2020-09-10,2237,Hamilton Public Health Services,4
2020-09-10,2241,"Kingston, Frontenac and Lennox & Addington Public Health",2
2020-09-10,2244,Middlesex-London Health Unit,1
2020-09-10,2246,Niagara Region Public Health Department,2
2020-09-10,2251,Ottawa Public Health,33
2020-09-10,2253,Peel Public Health,47
2020-09-10,2256,Porcupine Health Unit,1
2020-09-10,2257,Renfrew County and District Health Unit,1
2020-09-10,2260,Simcoe Muskoka District Health Unit,6
2020-09-10,2265,"Region of Waterloo, Public Health",5
2020-09-10,2266,Wellington-Dufferin-Guelph Public Health,4
2020-09-10,2268,Windsor-Essex County Health Unit,5
2020-09-10,2270,York Region Public Health Services,13
2020-09-10,3895,Toronto Public Health,65
2020-09-10,4913,Southwestern Public Health,1
2020-09-10,5183,Huron Perth District Health Unit,1
2020-09-11,2227,Brant County Health Unit,1
2020-09-11,2230,Durham Region Health Department,8
2020-09-11,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",1
2020-09-11,2236,Halton Region Health Department,10
2020-09-11,2237,Hamilton Public Health Services,1
2020-09-11,2240,Chatham-Kent Health Unit,1
2020-09-11,2243,"Leeds, Grenville and Lanark District Health Unit",1
2020-09-11,2244,Middlesex-London Health Unit,2
2020-09-11,2246,Niagara Region Public Health Department,1
2020-09-11,2251,Ottawa Public Health,60
2020-09-11,2253,Peel Public Health,55
2020-09-11,2256,Porcupine Health Unit,1
2020-09-11,2257,Renfrew County and District Health Unit,1
2020-09-11,2258,Eastern Ontario Health Unit,3
2020-09-11,2260,Simcoe Muskoka District Health Unit,8
2020-09-11,2265,"Region of Waterloo, Public Health",6
2020-09-11,2266,Wellington-Dufferin-Guelph Public Health,1
2020-09-11,2268,Windsor-Essex County Health Unit,13
2020-09-11,2270,York Region Public Health Services,13
2020-09-11,3895,Toronto Public Health,76
2020-09-11,4913,Southwestern Public Health,1
2020-09-11,5183,Huron Perth District Health Unit,1
2020-09-12,2230,Durham Region Health Department,10
2020-09-12,2233,Grey Bruce Health Unit,1
2020-09-12,2234,Haldimand-Norfolk Health Unit,3
2020-09-12,2236,Halton Region Health Department,5
2020-09-12,2237,Hamilton Public Health Services,2
2020-09-12,2240,Chatham-Kent Health Unit,1
2020-09-12,2242,Lambton Public Health,1
2020-09-12,2244,Middlesex-London Health Unit,6
2020-09-12,2246,Niagara Region Public Health Department,7
2020-09-12,2247,North Bay Parry Sound District Health Unit,1
2020-09-12,2251,Ottawa Public Health,47
2020-09-12,2253,Peel Public Health,66
2020-09-12,2257,Renfrew County and District Health Unit,2
2020-09-12,2260,Simcoe Muskoka District Health Unit,1
2020-09-12,2261,Sudbury & District Health Unit,2
2020-09-12,2265,"Region of Waterloo, Public Health",7
2020-09-12,2266,Wellington-Dufferin-Guelph Public Health,5
2020-09-12,2268,Windsor-Essex County Health Unit,8
2020-09-12,2270,York Region Public Health Services,16
2020-09-12,3895,Toronto Public Health,103
2020-09-12,4913,Southwestern Public Health,2
2020-09-13,2230,Durham Region Health Department,9
2020-09-13,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",1
2020-09-13,2236,Halton Region Health Department,5
2020-09-13,2237,Hamilton Public Health Services,2
2020-09-13,2243,"Leeds, Grenville and Lanark District Health Unit",1
2020-09-13,2244,Middlesex-London Health Unit,6
2020-09-13,2246,Niagara Region Public Health Department,5
2020-09-13,2251,Ottawa Public Health,31
2020-09-13,2253,Peel Public Health,42
2020-09-13,2257,Renfrew County and District Health Unit,1
2020-09-13,2258,Eastern Ontario Health Unit,3
2020-09-13,2260,Simcoe Muskoka District Health Unit,6
2020-09-13,2265,"Region of Waterloo, Public Health",8
2020-09-13,2266,Wellington-Dufferin-Guelph Public Health,1
2020-09-13,2268,Windsor-Essex County Health Unit,3
2020-09-13,2270,York Region Public Health Services,21
2020-09-13,3895,Toronto Public Health,69
2020-09-13,4913,Southwestern Public Health,1
2020-09-14,2230,Durham Region Health Department,16
2020-09-14,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",3
2020-09-14,2236,Halton Region Health Department,7
2020-09-14,2237,Hamilton Public Health Services,2
2020-09-14,2241,"Kingston, Frontenac and Lennox & Addington Public Health",1
2020-09-14,2244,Middlesex-London Health Unit,3
2020-09-14,2246,Niagara Region Public Health Department,2
2020-09-14,2251,Ottawa Public Health,59
2020-09-14,2253,Peel Public Health,43
2020-09-14,2255,Peterborough Public Health,3
2020-09-14,2258,Eastern Ontario Health Unit,7
2020-09-14,2260,Simcoe Muskoka District Health Unit,5
2020-09-14,2261,Sudbury & District Health Unit,3
2020-09-14,2265,"Region of Waterloo, Public Health",9
2020-09-14,2266,Wellington-Dufferin-Guelph Public Health,4
2020-09-14,2268,Windsor-Essex County Health Unit,7
2020-09-14,2270,York Region Public Health Services,44
2020-09-14,3895,Toronto Public Health,59
2020-09-14,5183,Huron Perth District Health Unit,1
2020-09-15,2227,Brant County Health Unit,1
2020-09-15,2230,Durham Region Health Department,10
2020-09-15,2234,Haldimand-Norfolk Health Unit,2
2020-09-15,2236,Halton Region Health Department,8
2020-09-15,2237,Hamilton Public Health Services,4
2020-09-15,2244,Middlesex-London Health Unit,6
2020-09-15,2246,Niagara Region Public Health Department,3
2020-09-15,2251,Ottawa Public Health,41
2020-09-15,2253,Peel Public Health,63
2020-09-15,2255,Peterborough Public Health,1
2020-09-15,2257,Renfrew County and District Health Unit,1
2020-09-15,2258,Eastern Ontario Health Unit,4
2020-09-15,2260,Simcoe Muskoka District Health Unit,12
2020-09-15,2265,"Region of Waterloo, Public Health",3
2020-09-15,2266,Wellington-Dufferin-Guelph Public Health,2
2020-09-15,2268,Windsor-Essex County Health Unit,9
2020-09-15,2270,York Region Public Health Services,41
2020-09-15,3895,Toronto Public Health,103
2020-09-15,4913,Southwestern Public Health,4
2020-09-16,2227,Brant County Health Unit,2
2020-09-16,2230,Durham Region Health Department,2
2020-09-16,2236,Halton Region Health Department,14
2020-09-16,2237,Hamilton Public Health Services,6
2020-09-16,2243,"Leeds, Grenville and Lanark District Health Unit",1
2020-09-16,2244,Middlesex-London Health Unit,8
2020-09-16,2246,Niagara Region Public Health Department,9
2020-09-16,2251,Ottawa Public Health,41
2020-09-16,2253,Peel Public Health,95
2020-09-16,2256,Porcupine Health Unit,1
2020-09-16,2257,Renfrew County and District Health Unit,1
2020-09-16,2258,Eastern Ontario Health Unit,1
2020-09-16,2260,Simcoe Muskoka District Health Unit,14
2020-09-16,2261,Sudbury & District Health Unit,2
2020-09-16,2265,"Region of Waterloo, Public Health",13
2020-09-16,2266,Wellington-Dufferin-Guelph Public Health,6
2020-09-16,2268,Windsor-Essex County Health Unit,2
2020-09-16,2270,York Region Public Health Services,32
2020-09-16,3895,Toronto Public Health,85
2020-09-17,2227,Brant County Health Unit,1
2020-09-17,2230,Durham Region Health Department,9
2020-09-17,2233,Grey Bruce Health Unit,2
2020-09-17,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",1
2020-09-17,2236,Halton Region Health Department,19
2020-09-17,2237,Hamilton Public Health Services,8
2020-09-17,2243,"Leeds, Grenville and Lanark District Health Unit",1
2020-09-17,2244,Middlesex-London Health Unit,12
2020-09-17,2246,Niagara Region Public Health Department,5
2020-09-17,2251,Ottawa Public Health,57
2020-09-17,2253,Peel Public Health,93
2020-09-17,2255,Peterborough Public Health,1
2020-09-17,2256,Porcupine Health Unit,1
2020-09-17,2257,Renfrew County and District Health Unit,2
2020-09-17,2258,Eastern Ontario Health Unit,1
2020-09-17,2260,Simcoe Muskoka District Health Unit,13
2020-09-17,2262,Thunder Bay District Health Unit,1
2020-09-17,2265,"Region of Waterloo, Public Health",10
2020-09-17,2266,Wellington-Dufferin-Guelph Public Health,7
2020-09-17,2268,Windsor-Essex County Health Unit,2
2020-09-17,2270,York Region Public Health Services,37
2020-09-17,3895,Toronto Public Health,146
2020-09-18,2226,Algoma Public Health Unit,1
2020-09-18,2227,Brant County Health Unit,3
2020-09-18,2230,Durham Region Health Department,8
2020-09-18,2234,Haldimand-Norfolk Health Unit,1
2020-09-18,2236,Halton Region Health Department,30
2020-09-18,2237,Hamilton Public Health Services,13
2020-09-18,2242,Lambton Public Health,1
2020-09-18,2243,"Leeds, Grenville and Lanark District Health Unit",1
2020-09-18,2244,Middlesex-London Health Unit,2
2020-09-18,2246,Niagara Region Public Health Department,2
2020-09-18,2249,Northwestern Health Unit,2
2020-09-18,2251,Ottawa Public Health,46
2020-09-18,2253,Peel Public Health,94
2020-09-18,2256,Porcupine Health Unit,2
2020-09-18,2257,Renfrew County and District Health Unit,2
2020-09-18,2258,Eastern Ontario Health Unit,2
2020-09-18,2260,Simcoe Muskoka District Health Unit,6
2020-09-18,2262,Thunder Bay District Health Unit,1
2020-09-18,2265,"Region of Waterloo, Public Health",9
2020-09-18,2266,Wellington-Dufferin-Guelph Public Health,4
2020-09-18,2268,Windsor-Essex County Health Unit,6
2020-09-18,2270,York Region Public Health Services,33
2020-09-18,3895,Toronto Public Health,128
2020-09-19,2226,Algoma Public Health Unit,1
2020-09-19,2227,Brant County Health Unit,1
2020-09-19,2230,Durham Region Health Department,19
2020-09-19,2233,Grey Bruce Health Unit,1
2020-09-19,2236,Halton Region Health Department,15
2020-09-19,2237,Hamilton Public Health Services,2
2020-09-19,2241,"Kingston, Frontenac and Lennox & Addington Public Health",1
2020-09-19,2244,Middlesex-London Health Unit,7
2020-09-19,2246,Niagara Region Public Health Department,1
2020-09-19,2247,North Bay Parry Sound District Health Unit,1
2020-09-19,2251,Ottawa Public Health,46
2020-09-19,2253,Peel Public Health,84
2020-09-19,2258,Eastern Ontario Health Unit,3
2020-09-19,2260,Simcoe Muskoka District Health Unit,2
2020-09-19,2265,"Region of Waterloo, Public Health",26
2020-09-19,2266,Wellington-Dufferin-Guelph Public Health,4
2020-09-19,2268,Windsor-Essex County Health Unit,4
2020-09-19,2270,York Region Public Health Services,22
2020-09-19,3895,Toronto Public Health,159
2020-09-20,2230,Durham Region Health Department,7
2020-09-20,2236,Halton Region Health Department,8
2020-09-20,2237,Hamilton Public Health Services,9
2020-09-20,2241,"Kingston, Frontenac and Lennox & Addington Public Health",1
2020-09-20,2243,"Leeds, Grenville and Lanark District Health Unit",1
2020-09-20,2244,Middlesex-London Health Unit,4
2020-09-20,2246,Niagara Region Public Health Department,3
2020-09-20,2249,Northwestern Health Unit,1
2020-09-20,2251,Ottawa Public Health,76
2020-09-20,2253,Peel Public Health,93
2020-09-20,2256,Porcupine Health Unit,1
2020-09-20,2258,Eastern Ontario Health Unit,3
2020-09-20,2260,Simcoe Muskoka District Health Unit,8
2020-09-20,2261,Sudbury & District Health Unit,1
2020-09-20,2265,"Region of Waterloo, Public Health",24
2020-09-20,2266,Wellington-Dufferin-Guelph Public Health,6
2020-09-20,2268,Windsor-Essex County Health Unit,4
2020-09-20,2270,York Region Public Health Services,24
2020-09-20,3895,Toronto Public Health,127
2020-09-21,2230,Durham Region Health Department,10
2020-09-21,2236,Halton Region Health Department,17
2020-09-21,2237,Hamilton Public Health Services,11
2020-09-21,2241,"Kingston, Frontenac and Lennox & Addington Public Health",1
2020-09-21,2243,"Leeds, Grenville and Lanark District Health Unit",1
2020-09-21,2244,Middlesex-London Health Unit,7
2020-09-21,2246,Niagara Region Public Health Department,6
2020-09-21,2251,Ottawa Public Health,56
2020-09-21,2253,Peel Public Health,89
2020-09-21,2258,Eastern Ontario Health Unit,7
2020-09-21,2260,Simcoe Muskoka District Health Unit,6
2020-09-21,2265,"Region of Waterloo, Public Health",19
2020-09-21,2266,Wellington-Dufferin-Guelph Public Health,3
2020-09-21,2268,Windsor-Essex County Health Unit,2
2020-09-21,2270,York Region Public Health Services,31
2020-09-21,3895,Toronto Public Health,121
2020-09-22,2227,Brant County Health Unit,5
2020-09-22,2230,Durham Region Health Department,10
2020-09-22,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",2
2020-09-22,2236,Halton Region Health Department,9
2020-09-22,2237,Hamilton Public Health Services,6
2020-09-22,2243,"Leeds, Grenville and Lanark District Health Unit",2
2020-09-22,2244,Middlesex-London Health Unit,10
2020-09-22,2246,Niagara Region Public Health Department,2
2020-09-22,2251,Ottawa Public Health,85
2020-09-22,2253,Peel Public Health,43
2020-09-22,2257,Renfrew County and District Health Unit,3
2020-09-22,2258,Eastern Ontario Health Unit,2
2020-09-22,2260,Simcoe Muskoka District Health Unit,11
2020-09-22,2265,"Region of Waterloo, Public Health",20
2020-09-22,2266,Wellington-Dufferin-Guelph Public Health,2
2020-09-22,2268,Windsor-Essex County Health Unit,4
2020-09-22,2270,York Region Public Health Services,20
2020-09-22,3895,Toronto Public Health,137
2020-09-23,2226,Algoma Public Health Unit,1
2020-09-23,2227,Brant County Health Unit,1
2020-09-23,2230,Durham Region Health Department,17
2020-09-23,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",1
