LTC_Home,Beds
Streetsville Care Community,118
Tall Pines Long Term Care Centre,160
The Village of Erin Meadows,180
Tyndall Nursing Home,151
Vera M. Davis Community Care Centre,64
Villa Forum,160
Yee Hong Centre - Mississauga,200
Centennial Place Long-Term Care Home,128
Extendicare Kapuskasing,61
Foyer Des Pionniers,67
Golden Manor,177
South Centennial Manor,69
Bonnechere Manor,180
Groves Park Lodge,100
Marianhill Nursing Home,139
"The Grove, Arnprior and District Nursing Home",61
Coleman Care Centre,112
Collingwood Nursing Home,64
Georgian Manor Home for the Aged,143
Mill Creek Care Centre,160
Muskoka Shores Care Community,207
Owen Hill Care Community,57
Roberta Place,140
Sara Vista,60
Simcoe Manor Home for the Aged,126
Spencer House,160
Stayner Care Centre,49
Sunset Manor Home for Senior Citizens,150
The Pines,160
Trillium Manor Home for the Aged,122
Caressant Care Woodstock Nursing Home,163
Caressant Care on Bonnie Place,116
Caressant Care on Mary Bucke,60
Chartwell Aylmer Long Term Care Residence,64
Elgin Manor,90
Extendicare Port Stanley,60
Maple Manor Nursing Home,107
Secord Trails Care Community,80
Terrace Lodge,100
Valleyview Home,136
Woodingford Lodge - Tillsonburg,34
Woodingford Lodge - Woodstock,160
peopleCare Tavistock,100
Elizabeth Centre,128
Extendicare York,288
Finlandia Hoivakoti Nursing Home,112
Manitoulin Lodge,62
Pioneer Manor,433
Wikwemikong Nursing Home,59
Bethammi Nursing Home,112
Geraldton District Hospital,26
Southbridge Pinewood,128
Southbridge Roseview,157
Extendicare Kirkland Lake,100
Extendicare Tri-Town,60
Northview Nursing Home,48
Teck Pioneer Residence,81
Temiskaming Lodge,83
Altamont Care Community,159
Bendale Acres,302
Carefree Lodge,127
Castleview Wychwood Towers,456
Cedarvale Terrace,218
Chartwell Trilogy Long Term Care Residence,197
Chartwell Westbury Long Term Care Residence,187
Chartwell White Eagle Long Term Care Residence,56
Chester Village,203
Copernicus Lodge,228
Craiglee Nursing Home,169
Deerwood Creek Care Community,160
Dom Lipa,66
Downsview Long Term Care Centre,252
Ehatare Nursing Home,32
Elm Grove Living Centre,126
Fountain View Care Community,158
Garden Court Nursing Home,45
Harmony Hills Care Community,160
Harold and Grace Baker Centre,120
Hellenic Care for Seniors (Toronto),81
Hellenic Home - Scarborough,128
Humber Valley Terrace,158
Ina Grafton Gage Home,128
Isabel and Arthur Meighen Manor,168
Kennedy Lodge,289
Kipling Acres,337
Labdara Lithuanian Nursing Home,90
Lakeside Long Term Care Centre,128
McCall Centre Long Term Care Interim Unit,21
Mon Sheong Home for the Aged,105
North Park Nursing Home,75
Norwood Nursing Home,60
Rockcliffe Care Community,204
Seniors' Health Centre,192
Seven Oaks,249
St. Clair O'Connor Community Nursing Home,25
Suomi-Koti Toronto Nursing Home,34
The Heritage Nursing Home,201
The O'Neill Centre,162
The Wexford,166
Thompson House,136
True Davidson Acres,187
Valleyview Residence,174
Vermont Square,130
Wellesley Central Place,150
Weston Terrace Care Community,224
Westside,242
Yee Hong Centre - Scarborough McNicoll,155
Barnswallow Place Care Community,96
Cambridge Country Manor,79
Chartwell Elmira Long Term Care Residence,48
Columbia Forest,156
Fairview Mennonite Home,84
Forest Heights,240
Golden Years Nursing Home,88
Lanark Heights Long Term Care Centre,160
Pinehaven Nursing Home,84
Stirling Heights,110
Sunnyside Home,263
The Village at University Gates,192
Trinity Village Care Centre,150
Twin Oaks of Maryhill,31
peopleCare Hilltop Manor Cambridge,185
Avalon Retirement Centre,137
Caressant Care Fergus Nursing Home,87
Caressant Care Harriston,89
Dufferin Oaks,160
LaPointe-Fisher Nursing Home,92
Morriston Park Nursing Home,28
Shelburne Long Term Care Home,60
Strathcona Long Term Care,87
Banwell Gardens Care Centre,142
Berkshire Care Centre,231
Brouillette Manor,60
Chartwell Royal Oak Long Term Care Residence,160
Chateau Park Long Term Care Home,59
Country Village Homes - Woodslee,104
Extendicare Southwood Lakes,150
Extendicare Tecumseh,128
Franklin Gardens Long Term Care Home,120
Heron Terrace Long Term Care Community,140
Huron Lodge Long Term Care Home,224
Iler Lodge,104
Regency Park Long Term Care Home,72
Richmond Terrace,128
Sun Parlor Home for Senior Citizens,206
The Village at St. Clair,256
The Village of Aspen Lake,192
Cedarvale Lodge Retirement and Care Community,60
Chartwell Woodhaven Long Term Care Residence,192
Eagle Terrace,70
Kristus Darzs Latvian Home,100
MacKenzie Place,93
Mariann Home,64
Parkview Home Long-Term Care,128
River Glen Haven Nursing Home,119
Sherwood Court Long Term Care Centre,96
Union Villa,160
Villa Colombo Seniors Centre (Vaughan),160
Villa Leonardo Gambin,168
Yee Hong Centre - Markham,200
Fox Ridge Care Community,122
Centre d'Accueil Champlain,160
Bella Senior Care Residences,160
The Village of Winston Park,95
Oak Terrace,94
Pine Villa Nursing Home,41
Wiigwas Elder and Senior Care,96
Vermont Square (CLOSED),0
The Grove Nursing Home,61
Au Chateau,162
Glen Hill Strathaven,158
Bennett Centre Long Term Care,66
Elmwood Place,128
Osgoode Care Centre,100
Faith Manor Nursing Home,160
Greenwood Court,48
Knollcrest Lodge,80
The Grove Nursing Home,96
Georgian Manor Home for the Aged,146
Better Living at Thompson House,136
Strathcona Long Term Care,96
Mackenzie Health Long Term Care Facility,170
Sunnycrest Nursing Home,104
Extendicare Port Hope,128
The Bignucolo Residence,19
Bobier Villa,57
Arbour Heights,174
H.J. McFarland Memorial Home,84
Woodingford Lodge - Ingersoll,34
Bob Rumball Home for The Deaf,64
Grey Gables Home for the Aged,66
Pinecrest Manor,61
Rideaucrest Home,170
Bay Haven Nursing Home,60
Babcock Community Care Centre,60
Bayfield Manor,66
The Maples Home for Seniors,43
Algoma Manor Nursing Home,96
Southbridge Lakehead,131
Pinecrest (Kenora),116
Fairview Manor,112
Muskoka Landing,94
Mon Sheong Stouffville Long-Term Care Centre,320
Huronview Home for the Aged,120
Fairvern Nursing Home,76
Espanola General Hospital (operating as Espanola Nursing Home-LTC),32
Rockwood Terrace Home for the Aged,100
Regency Long Term Care Home,60
Good Samaritan Nursing Home,64
Iroquois Lodge Nursing Home,50
Village on the Ridge,40
Extendicare Haliburton,60
Hastings Centennial Manor,110
Westgate Lodge Nursing Home,88
Watford Quality Care Centre,63
Kingsway Lodge Nursing Home,63
Hillcrest Village Care Centre,164
Victoria Gardens Long Term Care,76
Élisabeth-Bruyère Residence,71
Lennox and Addington County General Hospital,22
The Villa Care Centre,114
Rose of Sharon Korean Long Term Care,60
Queensway Long Term Care Home,60
Extendicare Van Daele,100
Caressant Care Marmora,84
Cedarwood Lodge,50
Pleasant Meadow Manor,61
Royal Rose Place,160
St. Joseph's Manor,64
